n=41 p=31 N= 1 v=1 q=1271 m=20 d=20 t=20 delta=0 p|n-1=False | W=[1, 20, 20] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=43 p= 3 N= 1 v=2 q=387 m=21 d=21 t=14 delta=0 p|n-1=True | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=43 p= 3 N= 5 v=2 q=387 m=107 d=21 t=14 delta=0 p|n-1=True | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=43 p= 3 N= 7 v=2 q=387 m=150 d=21 t=14 delta=0 p|n-1=True | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=43 p= 5 N= 1 v=1 q=215 m=21 d=21 t=14 delta=0 p|n-1=False | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=43 p= 7 N= 1 v=1 q=301 m=21 d=21 t=14 delta=0 p|n-1=True | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=43 p= 7 N= 3 v=1 q=301 m=64 d=21 t=14 delta=0 p|n-1=True | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=43 p= 7 N= 5 v=1 q=301 m=107 d=21 t=14 delta=0 p|n-1=True | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=43 p=11 N= 1 v=1 q=473 m=21 d=21 t=14 delta=0 p|n-1=False | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=43 p=13 N= 1 v=1 q=559 m=21 d=21 t=14 delta=0 p|n-1=False | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=43 p=17 N= 1 v=1 q=731 m=21 d=21 t=14 delta=0 p|n-1=False | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=43 p=19 N= 1 v=1 q=817 m=21 d=21 t=14 delta=0 p|n-1=False | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=43 p=23 N= 1 v=1 q=989 m=21 d=21 t=14 delta=0 p|n-1=False | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=43 p=29 N= 1 v=1 q=1247 m=21 d=21 t=14 delta=0 p|n-1=False | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=43 p=31 N= 1 v=1 q=1333 m=21 d=21 t=14 delta=0 p|n-1=False | W=[1, 21, 21] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=47 p= 3 N= 1 v=2 q=423 m=23 d=23 t=23 delta=1 p|n-1=False | W=[1, 22, 23] | d-W1=1 pred=1 W2full=True OK  [0.2s]
n=47 p= 7 N= 1 v=1 q=329 m=23 d=23 t=23 delta=1 p|n-1=False | W=[1, 22, 23] | d-W1=1 pred=1 W2full=True OK  [0.1s]
n=47 p=11 N= 1 v=1 q=517 m=23 d=23 t=23 delta=1 p|n-1=False | W=[1, 22, 23] | d-W1=1 pred=1 W2full=True OK  [0.2s]
n=47 p=13 N= 1 v=1 q=611 m=23 d=23 t=23 delta=1 p|n-1=False | W=[1, 22, 23] | d-W1=1 pred=1 W2full=True OK  [0.3s]
n=47 p=17 N= 1 v=1 q=799 m=23 d=23 t=23 delta=1 p|n-1=False | W=[1, 22, 23] | d-W1=1 pred=1 W2full=True OK  [0.2s]
n=47 p=19 N= 1 v=1 q=893 m=23 d=23 t=23 delta=1 p|n-1=False | W=[1, 22, 23] | d-W1=1 pred=1 W2full=True OK  [0.2s]
n=47 p=23 N= 1 v=1 q=1081 m=23 d=23 t=23 delta=1 p|n-1=True | W=[1, 22, 23] | d-W1=1 pred=1 W2full=True OK  [0.2s]
