p=5 a=2 n=17 M= 3 v=3 q=2125 m=637 d=8 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 8] | ladder OK | W_P=8 W1(A_25(85))=8 rank=8 OK | dB[P]=11 1+a+W1=11 OK | m^2=0 True | 4.2s
p=7 a=1 n=31 M=11 v=3 q=10633 m=1193 d=15 | W=[1, 0, 0, 0, 0, 0, 1, 12] | ladder OK | W_P=12 W1(A_170(1519))=12 rank=12 OK | dB[P]=14 1+a+W1=14 OK | m^2=0 True | 6.0s
p=3 a=2 n=31 M= 7 v=4 q=2511 m=976 d=15 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 12] | ladder OK | W_P=12 W1(A_108(279))=12 rank=12 OK | dB[P]=15 1+a+W1=15 OK | m^2=0 True | 5.6s
p=3 a=2 n=23 M=13 v=5 q=5589 m=1345 d=11 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 10] | ladder OK | W_P=10 W1(A_149(621))=10 rank=10 OK | dB[P]=13 1+a+W1=13 OK | m^2=0 True | 5.9s
p=11 a=1 n=31 M= 5 v=2 q=3751 m=852 d=15 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12] | ladder OK | W_P=12 W1(A_77(341))=12 rank=12 OK | dB[P]=14 1+a+W1=14 OK | m^2=0 True | 5.4s
p=7 a=2 n= 5 M=13 v=4 q=12005 m=1592 d=2 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2] | ladder OK | W_P=2 W1(A_32(245))=2 rank=2 OK | dB[P]=5 1+a+W1=5 OK | m^2=0 True | 5.8s
p=5 a=2 n=19 M= 3 v=3 q=2375 m=712 d=9 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 9] | ladder OK | W_P=9 W1(A_28(95))=9 rank=9 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 6.3s
p=5 a=2 n=13 M= 7 v=4 q=8125 m=1137 d=6 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 6] | ladder OK | W_P=6 W1(A_45(325))=6 rank=6 OK | dB[P]=9 1+a+W1=9 OK | m^2=0 True | 6.8s
p=7 a=1 n=45 M=13 v=3 q=15435 m=2047 d=12 | W=[1, 0, 0, 0, 0, 0, 1, 11] | ladder OK | W_P=11 W1(A_292(2205))=11 rank=11 OK | dB[P]=13 1+a+W1=13 OK | m^2=0 True | 7.4s
p=7 a=2 n=11 M= 3 v=3 q=3773 m=808 d=5 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 5] | ladder OK | W_P=5 W1(A_16(77))=5 rank=5 OK | dB[P]=8 1+a+W1=8 OK | m^2=0 True | 6.6s
